cust_id,총구매액,구매건수,평균구매액,최대구매액,구매상품종류1,내점일수,구매주기,봄-구매비율,여름-구매비율,가을-구매비율,겨울-구매비율,환불금액,환불건수,내점당구매액,내점당구매건수,주구매상품,주구매지점,구매 추세 기울기,화장품구매주기,식료품구매액비율,평균식료품구매액분위,고가상품구매율,베스트셀러구매비율,환불비율,스타킹구매건수,고객등급,평일방문비율,평균대비구매비중,주환불상품,남성포함상품구매건수,여성키워드상품구매건수,다양한 매장 방문,가격선호도,라이프 스타일(평균),라이프 스타일(건수),주구매 요일,선호방문계절,선호방문월,행사상품구매수,저가상품구매율,요일 간 구매건수 편차,충동지수,남성용품구매건수,여성용품구매건수,하루 최고 구매 건수,만족도 떨어지는 제품 총 구입금액,만족도 떨어지는 제품 총 구매건수,가성비 제품 총 구입금액,휴면일수,취미용품 구매비율,아동용품 구매건수,명절식품비용,발렌타인,화이트,단독상품군구매율,구매액표준편차,중복구매배수,의류_거래율(의류+식품+생활잡화),패션_대비_남성상품_거래율,패션_대비_여성상품_거래율,전체방문_중_환불방문(표준화),월_재방문율,시즌 마감 방문비율,상반기 구매비율,구매 추세,주구매지점재방문률,내점시마다 구매액의 일관성
10,245110760,53,4624731,67275000,34,25,13,0.301886792,0.188679245,0.226415094,0.283018868,22484000,2,9804430.4,2.12,디자이너,부산본점,-0.44,42,0.001363506,1,0.49,0.339622642,0.037735849,,2등급고객,0.773584906,169.3658931,디자이너부틱,1,9,1,3,남성의류,명품,목,fall,3,,0.26,0.132075472,0.04,7,16,6,67275000,1,156286160,18,0.137254902,1,0,0,0,0.169811321,12322533.3,1.558823529,0.32,0.363636364,0.409090909,0.389811553,1,0.52,0.58490566,-0.169811321,98.11,3.19926E+14
11,24467500,6,4077917,10575000,4,3,89,0.666666667,0,0.166666667,0.166666667,,,8155833.333,2,기타,본  점,-0.03,101,0.194135077,5,0.83,0.333333333,0,,수면고객,0.166666667,16.90647929,,,3,1,3,화장품,기타,토,spring,3,,0.17,0.833333333,0.333333333,1,1,4,,0,24467500,14,0,0,0,0,0,0.333333333,4264951.47,1.5,1,0,1,-0.485358794,0,1.333333333,0.666666667,-0.333333333,83.33,2.18033E+13
12,2895000,2,1447500,2475000,2,2,16,1,0,0,0,,,1447500,1,주류,분당점,-0.03,,0.14507772,5,0.5,0,0,,수면고객,1,2.000378361,,1,,1,2,남성의류,남성의류,월,spring,5,,0,0.5,0.5,0,0,1,,0,,220,0,0,0,0,0,1,1453104.435,1,0,0,0,-0.485358794,0.090909091,1,1,-1,50,1.05576E+12
13,103217000,58,1779603,14616000,21,27,10,0.206896552,0.413793103,0.24137931,0.137931034,13173720,6,3822851.852,2.148148148,시티웨어,분당점,0.2,,0,,0.41,0.482758621,0.103448276,,2등급고객,0.896551724,71.3205711,니  트,,1,1,2,여성의류,의류,화,summer,8,3,0.14,0.310344828,0.037037037,1,7,6,8988000,11,60590000,27,0.038461538,2,0,0,0,0.051724138,3199909.642,2.761904762,1,0.075,0.2,1.135327034,0.909090909,1,0.327586207,0.344827586,98.28,2.00122E+13
14,123565660,312,396044,22500000,59,84,4,0.368589744,0.182692308,0.230769231,0.217948718,7833000,6,1471019.762,3.714285714,농산물,본  점,-0.21,22,0.254167541,4,0.14,0.698717949,0.019230769,,vip고객,0.679487179,85.38102676,어덜트,4,24,2,1,남성의류,식품,토,fall,3,6,0.44,0.256410256,0.011904762,8,17,11,,0,87631360,4,0.016339869,0,204600,0,0,0.019230769,1491487.704,5.288135593,0.046948357,0.181818182,0.522727273,-0.094657746,1,1.226190476,0.576923077,-0.153846154,99.36,7.82793E+12
15,802390550,545,1472276,123488000,159,152,2,0.196330275,0.24587156,0.332110092,0.225688073,87054200,21,5278885.197,3.585526316,기타,본  점,2.18,20,0.037082204,3,0.21,0.612844037,0.03853211,2,vip고객,0.822018349,554.4334002,상품군미지정,5,26,2,2,가전,식품,금,fall,10,12,0.46,0.133944954,0.006578947,18,38,15,6272000,11,299890410,0,0.009541985,9,17474280,0,1,0.00733945,7438412.459,3.427672956,0.099071207,0.119565217,0.391304348,0.594209891,1,1.085526316,0.416513761,0.166972477,94.68,2.97342E+14
16,359589000,58,6199810,73684240,34,26,13,0.25862069,0.275862069,0.120689655,0.344827586,,,13830346.15,2.230769231,골프,본  점,-0.17,38,0.004637878,4,0.52,0.362068966,0,,2등급고객,0.637931034,248.4677218,,,13,2,4,가전,예체능,일,fall,12,2,0.17,0.293103448,0.038461538,15,5,8,,0,69616160,7,0.224137931,0,0,0,0,0.120689655,14651023.51,1.705882353,0.15,0.541666667,0.375,-0.485358794,0.818181818,0.884615385,0.568965517,-0.137931034,96.55,3.91005E+14
17,114421760,52,2200418,28560000,21,23,14,0.403846154,0.076923077,0.153846154,0.365384615,59424000,9,4974859.13,2.260869565,화장품,본  점,-0.88,35,0.011448871,5,0.83,0.423076923,0.173076923,1,3등급고객,0.769230769,79.06280234,디자이너부틱,2,10,1,3,화장품,의류,토,fall,1,1,0.25,0.230769231,0.043478261,3,7,5,6714400,12,91304960,31,0.069767442,1,0,0,0,0.076923077,7420202.793,2.476190476,0.5,0.19047619,0.619047619,2.368457556,0.909090909,0.52173913,0.788461538,-0.576923077,98.08,9.97049E+13
18,43857600,7,6265371,24000000,6,2,10,0,0,1,0,,,21928800,3.5,보석,본  점,0.12,,0,,0.71,0.142857143,0,,3등급고객,0.285714286,30.30459206,,1,1,1,4,남성의류,남성의류,일,fall,9,,0,0.714285714,0.5,1,4,5,7744000,1,10994000,92,0,1,0,0,0,1,8171647.053,1.166666667,1,0.25,0.5,-0.485358794,0,2.5,0,1,85.71,3.50606E+13
19,3074660,19,161824,500000,12,2,11,1,0,0,0,,,1537330,9.5,농산물,일산점,-0.25,,0.671118107,4,0,0.684210526,0,,3등급고객,1,2.124519286,,,,1,1,의류,식품,수,spring,5,2,0.47,0.631578947,0.5,1,0,12,,0,3074660,243,0,0,0,0,0,0.157894737,167612.8291,1.583333333,0.058823529,0,0,-0.485358794,0.090909091,0,1,-1,94.74,1812204900
20,52855460,36,1468207,9711000,25,11,26,0.361111111,0.333333333,0.166666667,0.138888889,,,4805041.818,3.272727273,기타,잠실점,-0.05,,0.039181572,4,0.31,0.472222222,0,,3등급고객,0.972222222,36.52190621,,3,,2,2,예체능,식품,목,spring,4,1,0.36,0.333333333,0.090909091,2,2,9,14292500,3,37807160,16,0.027777778,0,0,0,0,0.194444444,2563958.025,1.44,0.235294118,0.6,0,-0.485358794,0.545454545,0.636363636,0.527777778,-0.055555556,52.78,1.50489E+13
21,208520880,1521,137095,20280000,114,278,1,0.306377383,0.283366206,0.20052597,0.20973044,1524900,1,750075.1079,5.471223022,농산물,부산본점,-3.58,35,0.374325775,2,0.02,0.608152531,0.000657462,,vip고객,0.733727811,144.0831282,수영복,3,13,1,1,아동용품,식품,금,fall,3,26,0.76,0.045364892,0.003597122,19,2,18,,0,119430820,1,0.005263158,3,1255300,0,0,0.002629849,866292.0379,13.34210526,0.00289296,0.434782609,0.434782609,-0.446007609,1,1.647482014,0.547008547,-0.094017094,99.93,5.07247E+12
22,128221640,227,564853,17232000,43,65,5,0.273127753,0.220264317,0.251101322,0.255506608,18596800,3,1972640.615,3.492307692,농산물,잠실점,-0.16,18,0.132740542,3,0.12,0.63876652,0.013215859,7,1등급고객,0.792951542,88.59820177,N.B,,23,2,2,화장품,식품,월,fall,4,2,0.5,0.167400881,0.015384615,0,9,13,,0,109546540,5,0,1,688950,0,0,0.013215859,2465364.271,5.279069767,0.052023121,0,0.870967742,-0.148754814,1,0.953846154,0.488986784,0.022026432,97.8,2.1249E+13
23,450640,6,75107,165000,5,1,0,0,0,1,0,,,450640,6,농산물,분당점,0.19,,0.995339961,2,0,0.833333333,0,,2.5등급고객,1,0.311381867,,,,1,1,식품,식품,수,fall,11,,0.67,1,1,1,0,6,,0,395640,54,0,0,0,0,0,0.666666667,56317.26793,1.2,0,0,0,-0.485358794,0,0,0,1,83.33,0
24,52498250,40,1312456,12201000,13,15,9,0.9,0,0,0.1,3146000,1,3499883.333,2.666666667,가공식품,영등포점,-0.87,27,0.008533618,1,0.38,0.7,0.025,2,2등급고객,0.8,36.27508232,디자이너부틱,,4,1,2,명품,식품,수,spring,3,,0.52,0.25,0.066666667,1,12,10,4950000,2,52498250,224,0,0,0,0,1,0.05,2697842.175,3.076923077,0.263157895,0,0.75,0.243949829,0.363636364,0.6,1,-1,97.5,1.14114E+13
25,550000,1,550000,550000,1,1,0,1,0,0,0,,,550000,1,스포츠,본  점,-0.02,,0,,0,0,0,,신규고객,1,0.38003734,,,,1,2,예체능,예체능,수,spring,3,,0,1,1,1,0,1,,0,,285,1,0,0,0,0,1,,1,0,1,0,-0.485358794,0,1,1,-1,0,0
26,301903130,148,2039886,53050000,72,53,6,0.243243243,0.168918919,0.297297297,0.290540541,21241000,5,5696285.472,2.79245283,기타,본  점,0.69,70,0.012031343,4,0.45,0.290540541,0.033783784,3,1등급고객,0.506756757,208.6081135,L/C골프의류,3,15,1,3,가전,예체능,토,fall,11,3,0.2,0.25,0.018867925,9,14,8,9133800,4,168624930,2,0.174825175,7,0,0,0,0.027027027,6121956.895,2.055555556,0.375,0.5,0.274193548,0.54668171,1,0.41509434,0.432432432,0.135135135,99.32,1.02914E+14
27,217054230,841,258091,35650000,141,82,4,0.261593341,0.199762188,0.284185493,0.254458977,4440000,9,2647002.805,10.25609756,기타,분당점,2.44,34,0.238307634,3,0.03,0.620689655,0.010701546,,vip고객,0.583828775,149.9794767,이지캐주얼,2,11,3,1,가전,식품,토,fall,6,6,0.68,0.202140309,0.012195122,6,8,28,,0,73181760,0,0.001201923,1,837780,0,0,0.010701546,1735263.104,5.964539007,0.077319588,0.210526316,0.578947368,0.31510189,1,2.707317073,0.525564804,-0.051129608,97.62,4.15869E+13
28,139213500,57,2442342,19032000,32,23,15,0.263157895,0.140350877,0.245614035,0.350877193,,,6052760.87,2.47826087,기타,영등포점,-0.21,64,0.002697296,3,0.67,0.245614035,0,,3등급고객,0.263157895,96.19332401,,2,6,4,3,명품,의류,토,fall,1,,0.12,0.49122807,0.043478261,4,7,7,20918000,6,93577900,15,0.070175439,1,0,0,0,0.122807018,3395132.866,1.78125,0.793103448,0.304347826,0.391304348,-0.485358794,1,0.869565217,0.578947368,-0.157894737,64.91,3.25819E+13
29,2156050,11,196005,630000,6,3,28,0.363636364,0,0,0.636363636,,,718683.3333,3.666666667,가공식품,잠실점,-0.26,,0.987824958,4,0,0.818181818,0,,수면고객,1,1.489780921,,,,2,1,식품,식품,수,fall,2,2,0.55,0.636363636,0.333333333,0,0,7,,0,1526050,221,0,0,0,0,0,0,256344.5108,1.833333333,0,0,0,-0.485358794,0,2.666666667,1,-1,81.82,2.33665E+11
30,200934660,75,2679129,12835200,44,27,12,0.24,0.16,0.44,0.16,,,7442024.444,2.777777778,시티웨어,관악점,0.58,40,0.00053928,1,0.52,0.293333333,0,,1등급고객,0.733333333,138.8412248,,1,20,2,3,예체능,의류,금,fall,9,1,0.12,0.346666667,0.037037037,11,7,6,4890600,2,123383760,10,0.186666667,3,0,0,0,0.093333333,2848757.611,1.704545455,0.522727273,0.341463415,0.195121951,-0.485358794,0.818181818,0.851851852,0.386666667,0.226666667,88,3.3375E+13
31,355200,4,88800,259200,2,2,48,0,0.75,0.25,0,,,177600,2,가공식품,분당점,0.01,,1,2,0,1,0,,수면고객,0.25,0.245435024,,,,1,1,식품,식품,토,summer,6,,0.75,0.75,0.5,0,0,3,,0,96000,101,0,0,259200,0,0,0,117068.1853,2,0,0,0,-0.485358794,0,0.5,0.75,-0.5,75,6658560000
32,480431110,518,927473,46440000,189,108,3,0.314671815,0.243243243,0.281853282,0.16023166,4773700,3,4448436.204,4.796296296,기타,미아점,0.01,25,0.049059875,3,0.23,0.407335907,0.005791506,1,vip고객,0.629343629,331.9668382,영 트렌디,12,38,3,2,가전,식품,일,fall,4,22,0.46,0.212355212,0.009259259,25,17,28,,0,93989780,8,0.027184466,2,5098500,0,0,0.007722008,2979654.323,2.740740741,0.330383481,0.367816092,0.287356322,-0.181480201,1,1.564814815,0.474903475,0.05019305,40.93,5.14248E+13
33,38068520,43,885314,7935000,25,15,4,0,0,0.860465116,0.139534884,13930000,3,2537901.333,2.866666667,기타,강남점,1.38,25,0.039015701,3,0.44,0.395348837,0.069767442,,1등급고객,0.953488372,26.30447104,한실침구,,5,2,2,예체능,식품,수,fall,11,2,0.44,0.325581395,0.066666667,3,7,9,14935000,5,35777520,1,0.075,0,0,0,0,0.093023256,2788962.838,1.72,0.19047619,0.333333333,0.555555556,1.702567074,0.181818182,2.133333333,0,1,58.14,1.96587E+13
34,19296840,14,1378346,15900000,10,8,33,0.142857143,0.357142857,0.071428571,0.428571429,15900000,1,2412105,1.75,피혁잡화,잠실점,-0.18,8,0.017897231,3,0.64,0.571428571,0.071428571,,수면고객,0.857142857,13.33367226,시니어,,3,1,2,여성의류,식품,수,fall,8,,0.29,0.357142857,0.125,0,2,5,,0,2889640,92,0,1,0,0,0,0.285714286,6633486.461,1.4,0.5,0,0.666666667,0.882094874,0.363636364,0.375,0.571428571,-0.142857143,92.86,8.27484E+13
35,190634260,795,239792,20284000,151,122,2,0.193710692,0.237735849,0.290566038,0.277987421,82168800,34,1562575.902,6.516393443,기타,일산점,3.51,18,0.279750345,3,0.09,0.621383648,0.042767296,2,vip고객,0.72327044,131.7238855,캐릭터 여화,2,30,4,1,명품,식품,화,fall,12,38,0.66,0.162264151,0.008196721,9,35,24,13026000,7,127402730,0,0.005256242,7,0,0,0,0.006289308,1683536.306,5.264900662,0.070895522,0.148648649,0.567567568,1.218353972,1,2.532786885,0.436477987,0.127044025,50.94,2.28635E+13
36,16328000,4,4082000,15130000,3,2,24,1,0,0,0,,,8164000,2,캐주얼,분당점,-0.08,,0,,0.25,0.25,0,,수면고객,0,11.28227215,,,,1,3,가전,의류,일,spring,4,1,0.25,1,0.5,0,0,3,,0,780000,246,0,0,0,0,0,1,7371208.133,1.333333333,1,0,0,-0.485358794,0.090909091,1.5,1,-1,75,4.85252E+13
37,105878600,37,2861584,28900000,21,13,24,0.243243243,0.108108108,0.459459459,0.189189189,22960000,3,8144507.692,2.846153846,기타,대전점,0.38,,0.001286379,2,0.59,0.135135135,0.081081081,,3등급고객,0.891891892,73.15967543,L/C정장,5,3,1,3,생활용품,의류,월,fall,11,2,0.19,0.351351351,0.076923077,7,0,7,5070000,2,73576200,14,0.147058824,1,0,0,0,0.054054054,7447426.656,1.761904762,0.733333333,0.45,0.05,1.197661105,0.363636364,0.153846154,0.378378378,0.243243243,97.3,1.24807E+14
38,9850000,3,3283333,5750000,2,3,40,0.333333333,0.666666667,0,0,,,3283333.333,1,화장품,본  점,0,38,0,,1,0.666666667,0,,수면고객,1,6.806123268,,,2,1,3,화장품,화장품,월,summer,7,,0,0.333333333,0.333333333,0,0,1,,0,9000000,138,0,0,0,0,0,0.333333333,2450170.062,1.5,0,0,1,-0.485358794,0.090909091,0,0.333333333,0.333333333,66.67,4.00222E+12
39,189885800,48,3955954,29673000,20,31,11,0.229166667,0.208333333,0.166666667,0.395833333,20723000,5,6125348.387,1.548387097,디자이너,부산본점,-0.44,,0,,0.67,0.479166667,0.104166667,,2등급고객,0.729166667,131.2067169,숙녀고정행사,,3,2,3,명품,명품,금,fall,1,2,0.12,0.1875,0.032258065,1,23,5,28324000,5,180109200,7,0.093023256,2,0,0,0,0.041666667,6863877.269,2.4,0.578947368,0.235294118,0.411764706,0.926206282,0.818181818,0.548387097,0.604166667,-0.208333333,58.33,7.11826E+13
40,680977340,137,4970638,43240000,55,41,8,0.372262774,0.335766423,0.058394161,0.233576642,,,16609203.41,3.341463415,화장품,본  점,-0.7,18,0.012426669,4,0.43,0.416058394,0,1,1등급고객,0.343065693,470.5396669,,,53,1,3,명품,식품,일,spring,4,1,0.25,0.321167883,0.024390244,11,3,14,42745600,4,585303840,10,0.094890511,1,0,0,0,0.072992701,9110389.417,2.490909091,0.059701493,0.324324324,0.675675676,-0.485358794,1,1.170731707,0.635036496,-0.270072993,99.27,2.18529E+14
41,10512000,5,2102400,9750000,4,3,77,0,0.4,0.2,0.4,,,3504000,1.666666667,수산품,본  점,-0.07,,0.071347032,5,0.2,0.4,0,,수면고객,0.8,7.26355003,,1,,2,3,남성의류,식품,수,fall,6,1,0.2,0.4,0.333333333,1,0,2,,0,528000,113,0,0,0,0,0,0.6,4276410.504,1.25,0.25,1,0,-0.485358794,0,0,0.8,-0.6,40,2.09953E+13
42,58757280,34,1728155,8668800,23,14,21,0.205882353,0.441176471,0.205882353,0.147058824,,,4196948.571,2.428571429,디자이너,강남점,-0.12,,0.009307442,2,0.35,0.529411765,0,,3등급고객,0.411764706,40.59992798,,,1,3,2,명품,의류,토,summer,7,1,0.21,0.558823529,0.071428571,0,9,8,34361500,8,44449780,56,0,1,0,0,0,0.117647059,2577026.711,1.47826087,0.428571429,0,0.111111111,-0.485358794,0.363636364,1.357142857,0.558823529,-0.117647059,67.65,3.1198E+13
43,26561200,16,1660075,11875000,5,7,32,0.3125,0.25,0.4375,0,,,3794457.143,2.285714286,가공식품,분당점,0.15,0,0.013975272,1,0.19,0.875,0,,수면고객,0.8125,18.3531778,,1,1,1,2,화장품,식품,수,fall,11,,0.75,0.625,0.142857143,0,0,4,,0,12246200,51,0.0625,0,0,0,0,0.1875,3666803.548,3.2,0,0,1,-0.485358794,0.090909091,1.142857143,0.3125,0.375,93.75,2.08657E+13
44,88142300,51,1728280,27764000,37,20,16,0.156862745,0.117647059,0.431372549,0.294117647,250000,1,4407115,2.55,기타,강남점,0.21,,0.02224993,3,0.24,0.411764706,0.019607843,,3등급고객,0.647058824,60.9043004,디자이너부틱,1,2,1,2,명품,식품,토,fall,10,5,0.33,0.274509804,0.05,6,6,8,33022000,2,58801300,23,0.14,9,0,0,0,0.196078431,4279592.734,1.378378378,0.1,0.636363636,0.181818182,0.061622673,0.818181818,0.25,0.411764706,0.176470588,98.04,5.07948E+13
45,6895950,57,120982,2050000,11,21,14,0.263157895,0.210526316,0.368421053,0.157894737,,,328378.5714,2.714285714,기타,본  점,-0.06,,0.975964153,4,0,0.631578947,0,,3등급고객,0.824561404,4.764942716,,,,1,1,식품,식품,수,fall,9,,0.72,0.245614035,0.047619048,0,0,6,,0,6890950,40,0,0,0,0,0,0.01754386,288624.999,5.181818182,0,0,0,-0.485358794,0.727272727,0.857142857,0.526315789,-0.052631579,98.25,1.73181E+11
46,3677000,5,735400,3476000,4,2,18,0.2,0,0,0.8,,,1838500,2.5,차/커피,본  점,-0.15,,0.054664128,1,0.2,1,0,,수면고객,1,2.540722361,,,,1,2,명품,식품,화,fall,2,1,0.6,0.8,0.5,0,1,4,,0,201000,284,0,0,3500,1,0,0.4,1532461.893,1.25,0,0,0,-0.485358794,0.090909091,0.5,1,-1,80,2.68141E+12
47,7273000,21,346333,2205000,10,5,35,0.523809524,0.095238095,0.380952381,0,,,1454600,4.2,기타,강남점,0.07,0,0.086896741,2,0.14,0.523809524,0,,수면고객,0.952380952,5.025475586,,,2,3,1,생활용품,식품,목,spring,5,2,0.57,0.523809524,0.2,0,4,11,,0,3320000,36,0,0,0,0,0,0.238095238,585895.5823,2.1,0.266666667,0,0.8,-0.485358794,0.090909091,2.8,0.523809524,-0.047619048,61.9,1.61412E+12
48,115107880,198,581353,12500000,75,42,8,0.267676768,0.373737374,0.131313131,0.227272727,12085000,5,2740663.81,4.714285714,기타,본  점,-0.69,38,0.123460357,4,0.17,0.575757576,0.025252525,,1등급고객,0.621212121,79.53689547,L.B,,8,2,2,예체능,식품,토,summer,6,6,0.44,0.131313131,0.023809524,3,11,14,6450000,6,73750030,7,0.010362694,1,321000,0,0,0.025252525,1838119.459,2.64,0.139705882,0.136363636,0.5,0.556510667,1,1.476190476,0.580808081,-0.161616162,95.96,1.84772E+13
49,12810920,116,110439,870870,32,18,13,0.043103448,0.379310345,0.370689655,0.206896552,,,711717.7778,6.444444444,농산물,관악점,2.17,,0.966373219,3,0,0.836206897,0,,1등급고객,0.629310345,8.852050832,,,,2,1,의류,식품,토,fall,12,1,0.6,0.327586207,0.055555556,0,0,15,,0,12682170,10,0,0,0,0,0,0.017241379,166650.4499,3.625,0.010204082,0,0,-0.485358794,0.454545455,3.388888889,0.043103448,0.913793103,93.97,2.07037E+11
50,35338450,31,1139950,8125000,23,12,30,0.064516129,0.096774194,0.225806452,0.612903226,,,2944870.833,2.583333333,캐주얼,광주점,0.24,38,0.009060952,1,0.19,0.387096774,0,2,이탈위험고객,0.709677419,24.41805551,,1,3,1,2,남성의류,의류,화,fall,12,1,0.35,0.258064516,0.083333333,0,6,8,,0,4291950,2,0,0,0,0,0,0.225806452,2016910.007,1.347826087,0.523809524,0.142857143,0.857142857,-0.485358794,0.272727273,0.75,0.419354839,0.161290323,96.77,5.68328E+12
51,13461000,3,4487000,9384000,3,3,76,0.666666667,0,0,0.333333333,,,4487000,1,스포츠,잠실점,0.01,,0,,1,0.333333333,0,,수면고객,0.666666667,9.301241148,,1,,3,3,명품,남성의류,토,spring,12,,0,0.333333333,0.333333333,0,1,1,9384000,1,9384000,24,0.333333333,0,0,0,0,1,4247627.455,1,0,1,0,-0.485358794,0.090909091,0.333333333,0.666666667,-0.333333333,0,1.20282E+13
52,13926390,70,198948,4050000,18,25,12,0.014285714,0.342857143,0.228571429,0.414285714,,,557055.6,2.8,가공식품,본  점,0.87,,0.050854529,1,0.01,0.6,0,,2등급고객,0.414285714,9.622814925,,,2,1,1,여성의류,식품,토,fall,12,1,0.73,0.585714286,0.04,11,3,9,,0,5435090,16,0.057142857,0,0,0,0,0.057142857,555393.0343,3.888888889,0.044444444,0.733333333,0.066666667,-0.485358794,0.363636364,0.96,0.285714286,0.428571429,98.57,7.03814E+11
